GEOID,community_area_num,community_area_num2,tract_name,VULNERABLE,FLOOD_SUSC,SURFACE_TE,AIR_TOXINS,PERCENT_CA,PRIORITY,RANK,VULRANK,COMMUNITY,asthma_pct,copd_pct,depression_pct,physical_inactivity_pct,mental_health_pct,obesity_pct,TotalPopulation,AQH_score,AQH_score_popweighted,AQH_score_max,AQH_percentile,AQH_block_group_count,AQH_tract_population
17031010503,1,1,Census Tract 105.03,0.0435,8.68918161101,76.1990825696,3.109,18.958,0.34489969149,High,High,Rogers Park,10.9,8.5,22.9,28.0,18.8,30.4,"2,565",22.27,23.315,25.204,27.0,2.0,2047.0
17031010702,1,1,Census Tract 107.02,0.0714,8.57902150804,78.2249350658,2.91,16.2527,0.45877568335,High,Very high,Rogers Park,10.4,5.6,20.5,26.5,17.8,35.1,"4,776",19.272,19.041,21.973,20.2,4.0,5333.0
17031837100,27,27,Census Tract 8371,0.0286,9.31622766384,81.5361753956,2.252,11.4233,0.63159861174,Very high,High,East Garfield Park,11.7,7.2,17.9,28.3,16.6,37.6,"1,652",54.042,53.077,56.41,87.0,2.0,1634.0
17031837000,27,27,Census Tract 8370,0.0317,9.45648493439,80.479732739,2.236,15.4924,0.51104554152,High,High,East Garfield Park,12.7,6.7,18.7,28.6,18.5,42.3,"2,042",57.343,57.568,62.534,90.0,2.0,2028.0
17031010201,1,1,Census Tract 102.01,0.0342,8.09194365832,77.4377495456,2.75,28.4182,0.13053072469,Medium,High,Rogers Park,11.2,7.3,20.6,30.6,18.9,38.4,"6,939",22.735,22.923,23.103,28.7,3.0,7197.0
17031020901,2,2,Census Tract 209.01,0.0733,8.27045119393,78.9182948498,2.947,15.3731,0.49759389527,High,Very high,West Ridge,9.8,6.6,18.3,30.4,17.0,32.1,"5,848",26.162,25.929,26.975,36.7,3.0,5807.0
17031040401,4,4,Census Tract 404.01,-0.0224,8.72326765007,80.3701204826,3.167,25.4252,0.45557420862,High,Medium,Lincoln Square,9.3,3.5,20.7,14.9,14.1,26.4,"3,129",16.916,17.185,19.213,14.0,4.0,3182.0
17031210602,21,21,Census Tract 2106.02,0.0785,8.96887105449,82.9178654288,3.338,13.7267,0.86797508034,Very high,Very high,Avondale,8.9,3.6,19.6,22.3,16.0,30.2,"4,148",29.084,29.251,29.735,42.7,3.0,4032.0
17031160501,16,16,Census Tract 1605.01,0.0663,8.81418432111,81.89100257,3.275,23.033,0.62441274385,Very high,Very high,Irving Park,9.3,4.8,19.4,25.6,15.8,31.7,"3,703",28.05,27.918,29.045,41.0,2.0,4237.0
17031191302,19,19,Census Tract 1913.02,0.0783,9.46733240835,85.635378032,2.253,12.4913,0.85278561871,Very high,Very high,Belmont Cragin,9.3,5.6,18.4,36.7,17.6,36.9,"4,940",26.105,26.129,26.388,36.5,2.0,5370.0
