"Year","StateAbbr","StateDesc","CountyName","CountyFIPS","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","Geolocation","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text"
"2023","IL","Illinois","Cook","17031","17031240900","BRFSS","Health Outcomes","Depression among adults","%","Crude prevalence","17.9",,,"15.7","20.0","1,122","967","POINT (-87.6986233 41.9048448)","17031240900","HLTHOUT","DEPRESSION","CrdPrv","Depression"
"2023","IL","Illinois","Cook","17031","17031240200","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","14.1",,,"11.4","17.2","1,556","1,333","POINT (-87.6701816 41.9124417)","17031240200","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031671900","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","12.1",,,"10.8","13.4","1,122","872","POINT (-87.6612802 41.7613256)","17031671900","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031490800","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","16.7",,,"14.7","19.0","3,502","2,798","POINT (-87.6153469 41.7106902)","17031490800","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031330200","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","18.4",,,"15.9","21.1","4,008","3,130","POINT (-87.630568 41.8655783)","17031330200","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031710200","BRFSS","Health Status","Frequent mental distress among adults","%","Crude prevalence","21.6",,,"19.3","24.1","4,635","3,442","POINT (-87.6514252 41.7551131)","17031710200","HLTHSTAT","MHLTH","CrdPrv","Frequent Mental Distress"
"2023","IL","Illinois","Cook","17031","17031611200","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","9.9",,,"8.8","11.0","2,680","1,826","POINT (-87.6624414 41.8049939)","17031611200","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
"2023","IL","Illinois","Cook","17031","17031350400","BRFSS","Health Outcomes","Chronic obstructive pulmonary disease among adults","%","Crude prevalence","11.3",,,"9.4","13.4","1,512","952","POINT (-87.6283695 41.8419291)","17031350400","HLTHOUT","COPD","CrdPrv","COPD"
"2023","IL","Illinois","Cook","17031","17031190701","BRFSS","Health Outcomes","Obesity among adults","%","Crude prevalence","32.9",,,"29.3","36.5","2,972","2,184","POINT (-87.7614217 41.9297959)","17031190701","HLTHOUT","OBESITY","CrdPrv","Obesity"
"2023","IL","Illinois","Cook","17031","17031560900","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Crude prevalence","21.8",,,"18.5","25.1","5,112","4,019","POINT (-87.7916514 41.7957702)","17031560900","RISKBEH","LPA","CrdPrv","Physical Inactivity"
"2023","IL","Illinois","Cook","17031","17031260900","BRFSS","Health Outcomes","Current asthma among adults","%","Crude prevalence","14.2",,,"12.7","15.9","1,778","1,308","POINT (-87.7228141 41.8710297)","17031260900","HLTHOUT","CASTHMA","CrdPrv","Current Asthma"
